Geo_GEOID,Pop_Poverty
14000US36061003602,717
14000US36061003700,125
14000US36061003800,1037
14000US36061003900,215
14000US36061004001,237
14000US36061004002,686
14000US36061004100,1109
14000US36061004200,298
14000US36061004300,587
14000US36061004400,2379
14000US36061004500,85
14000US36061004700,123
14000US36061004800,347
14000US36061004900,431
14000US36061005000,223
14000US36061005200,115
14000US36061005400,278
14000US36061005501,351
14000US36061005502,224
14000US36061005600,735
14000US36061005700,74
14000US36061005800,491
14000US36061005900,186
14000US36061006000,110
14000US36061006100,103
14000US36061006200,804
14000US36061006300,353
14000US36061006400,1006
14000US36061006500,363
14000US36061006600,1189
14000US36061006700,168
14000US36061006800,728
14000US36061006900,114
14000US36061007001,299
14000US36061007002,287
14000US36061007100,360
14000US36061007200,363
14000US36061007300,397
14000US36061007400,211
14000US36061007500,180
14000US36061007600,248
14000US36061007700,419
14000US36061007800,546
14000US36061007900,471
14000US36061008000,177
14000US36061008100,376
14000US36061008200,177
14000US36061008300,828
14000US36061008400,181
14000US36061008601,368
14000US36061008602,0
14000US36061008603,120
14000US36061008700,663
14000US36061008800,184
14000US36061008900,550
14000US36061009000,900
14000US36061009100,894
14000US36061009200,44
14000US36061009300,918
14000US36061009400,0
14000US36061009500,139
14000US36061009600,0
14000US36061009700,641
14000US36061009800,836
14000US36061009901,121
14000US36061009902,71
14000US36061009903,104
14000US36061010000,95
14000US36061010100,217
14000US36061010200,25
14000US36061010300,254
14000US36061010400,79
14000US36061010601,227
14000US36061010602,121
14000US36061010801,71
14000US36061010802,170
14000US36061010803,47
14000US36061010900,43
14000US36061011000,343
14000US36061011100,449
14000US36061011201,38
14000US36061011202,14
14000US36061011203,25
14000US36061011300,54
14000US36061011401,59
14000US36061011402,86
14000US36061011500,616
14000US36061011600,290
14000US36061011700,217
14000US36061011800,634
14000US36061011900,495
14000US36061012000,258
14000US36061012101,629
14000US36061012102,452
14000US36061012200,99
14000US36061012400,362
14000US36061012500,300
14000US36061012601,445
14000US36061012602,342
14000US36061012700,932
14000US36061012800,400
14000US36061012901,541
14000US36061012902,385
14000US36061013000,44
14000US36061013100,285
14000US36061013201,156
14000US36061013202,238
14000US36061013203,173
14000US36061013300,881
14000US36061013400,1318
14000US36061013501,806
14000US36061013502,1242
14000US36061013601,130
14000US36061013602,111
14000US36061013603,14
14000US36061013604,297
14000US36061013700,432
14000US36061013800,818
14000US36061013900,815
14000US36061014000,344
14000US36061014200,268
14000US36061014300,0
14000US36061014401,131
14000US36061014402,159
14000US36061014500,380
14000US36061014601,439
14000US36061014602,492
14000US36061014700,168
14000US36061014801,69
14000US36061014802,526
14000US36061014900,586
14000US36061015001,94
14000US36061015002,138
14000US36061015101,454
14000US36061015102,1368
14000US36061015200,1194
14000US36061015301,183
14000US36061015302,165
14000US36061015401,203
14000US36061015402,69
14000US36061015403,475
14000US36061015501,239
14000US36061015502,409
14000US36061015601,474
14000US36061015602,667
14000US36061015700,570
14000US36061015801,160
14000US36061015802,311
14000US36061015900,564
14000US36061016001,96
14000US36061016002,113
14000US36061016100,406
14000US36061016200,2877
14000US36061016300,225
