Geo_GEOID,Origin_Native_Born,Origin_Foreign_Born,Origin_Foreign_Origin_Naturalized_Citizen,Origin_Foreign_Origin_Not_a_Citizen
14000US36047040500,1173,340,176,164
14000US36047040600,1763,1929,1170,759
14000US36047040700,0,0,0,0
14000US36047040800,1807,1839,914,925
14000US36047040900,2402,1434,558,876
14000US36047041000,1349,699,467,232
14000US36047041100,2162,872,350,522
14000US36047041200,1596,1732,1210,522
14000US36047041300,2752,1234,607,627
14000US36047041401,923,618,350,268
14000US36047041402,990,834,500,334
14000US36047041500,3329,1024,659,365
14000US36047041600,1621,717,635,82
14000US36047041700,2226,906,475,431
14000US36047041800,1880,1080,641,439
14000US36047041900,2652,971,589,382
14000US36047042000,1393,444,370,74
14000US36047042100,2815,1444,427,1017
14000US36047042200,1791,1744,780,964
14000US36047042300,2635,1343,585,758
14000US36047042400,1456,2024,1360,664
14000US36047042500,2563,775,317,458
14000US36047042600,1436,2866,1841,1025
14000US36047042700,3565,1331,631,700
14000US36047042800,1450,2335,1582,753
14000US36047042900,3416,2025,525,1500
14000US36047043000,893,2390,1075,1315
14000US36047043100,3131,1563,430,1133
14000US36047043200,1869,2472,1415,1057
14000US36047043300,2611,1017,351,666
14000US36047043400,1384,2153,1358,795
14000US36047043500,3130,1985,1051,934
14000US36047043600,2197,2862,1550,1312
14000US36047043700,3434,2262,832,1430
14000US36047043800,1397,1223,618,605
14000US36047043900,2018,1497,708,789
14000US36047044000,1969,840,462,378
14000US36047044100,3032,2092,1064,1028
14000US36047044200,2236,709,524,185
14000US36047044300,2810,1777,695,1082
14000US36047044400,2439,1150,924,226
14000US36047044500,2620,2109,845,1264
14000US36047044600,994,1098,669,429
14000US36047044700,1872,673,246,427
14000US36047044800,1271,427,282,145
14000US36047044900,2490,720,306,414
14000US36047045000,452,114,99,15
14000US36047045200,2092,422,250,172
14000US36047045300,1919,659,168,491
14000US36047045400,1237,444,209,235
14000US36047045600,1074,1096,458,638
14000US36047045800,900,424,366,58
14000US36047046000,1658,1473,889,584
14000US36047046201,1199,1082,841,241
14000US36047046202,1626,316,200,116
14000US36047046400,2239,399,259,140
14000US36047046800,1910,258,218,40
14000US36047047000,2301,302,193,109
14000US36047047200,2441,328,291,37
14000US36047047400,1904,481,278,203
14000US36047047600,2772,613,535,78
14000US36047047700,3035,800,261,539
14000US36047047800,2467,1199,671,528
14000US36047048000,2291,1384,566,818
14000US36047048100,1968,999,439,560
14000US36047048200,1879,3006,1882,1124
14000US36047048400,3704,1870,1274,596
14000US36047048500,1730,559,221,338
14000US36047048600,1623,1577,974,603
14000US36047048800,2686,1210,876,334
14000US36047048900,3069,548,361,187
14000US36047049000,2788,2813,1481,1332
14000US36047049100,4249,2820,1898,922
14000US36047049200,1378,1310,851,459
14000US36047049300,6167,1125,668,457
14000US36047049400,3681,2026,1449,577
14000US36047049500,2144,456,172,284
